FrameIndex,ObjectName,"WorldPosition (x,y,z)",RotationEuler,RendererSize,ColliderSize
8,R22_Helicopter_V2/Graphics_Group/R22_Mechanical_Group/R22_Mechanical_Motor_Geo,"[-15.278,0.627,10.516]","[331.438,313.803,342.709]","[2.814,2.399,2.593]",[]
1,R22_Helicopter_V2/Rotors_Group/Back Rotor - Mast/R22_Mechanical_LTailBlade_Geo,"[0.542,2.033,-2.236]","[0.000,0.000,0.000]","[0.012,0.263,0.074]",[]
4,R22_Helicopter_V2/Rotors_Group/Back Rotor - Mast/R22_Mechanical_LTailBlade_Geo,"[0.177,1.780,-2.157]","[357.017,144.815,183.013]","[0.056,0.267,0.087]",[]
7,R22_Helicopter_V2/Rotors_Group/Back Rotor - Mast/R22_Mechanical_LTailBlade_Geo,"[-17.955,39.704,9.947]","[42.426,341.125,174.640]","[0.064,0.244,0.230]",[]
8,R22_Helicopter_V2/Rotors_Group/Back Rotor - Mast/R22_Mechanical_LTailBlade_Geo,"[-13.227,0.524,8.696]","[332.230,117.152,197.159]","[0.134,0.260,0.162]",[]
1,R22_Helicopter_V2/Rotors_Group/Back Rotor - Mast/R22_Mechanical_RTailBlade_Geo,"[0.542,2.084,-2.236]","[0.000,0.000,0.000]","[0.012,0.263,0.074]",[]
4,R22_Helicopter_V2/Rotors_Group/Back Rotor - Mast/R22_Mechanical_RTailBlade_Geo,"[0.176,1.728,-2.161]","[357.017,144.815,183.013]","[0.056,0.267,0.087]",[]
7,R22_Helicopter_V2/Rotors_Group/Back Rotor - Mast/R22_Mechanical_RTailBlade_Geo,"[-17.948,39.666,9.913]","[42.426,341.125,174.640]","[0.064,0.244,0.230]",[]
8,R22_Helicopter_V2/Rotors_Group/Back Rotor - Mast/R22_Mechanical_RTailBlade_Geo,"[-13.213,0.480,8.672]","[332.230,117.152,197.159]","[0.134,0.260,0.162]",[]
1,R22_Helicopter_V2/Rotors_Group/Back Rotor - Mast/R22_Mechanical_TailMast_Geo,"[0.743,2.062,-2.237]","[0.000,0.000,0.000]","[0.240,0.089,0.070]",[]
4,R22_Helicopter_V2/Rotors_Group/Back Rotor - Mast/R22_Mechanical_TailMast_Geo,"[0.374,1.750,-2.193]","[355.761,189.893,180.018]","[0.249,0.094,0.116]",[]
7,R22_Helicopter_V2/Rotors_Group/Back Rotor - Mast/R22_Mechanical_TailMast_Geo,"[-18.122,39.597,9.989]","[31.722,36.984,210.232]","[0.251,0.205,0.180]",[]
8,R22_Helicopter_V2/Rotors_Group/Back Rotor - Mast/R22_Mechanical_TailMast_Geo,"[-13.108,0.446,8.840]","[332.230,117.152,197.159]","[0.212,0.170,0.258]",[]
1,R22_Helicopter_V2/Rotors_Group/Back Rotor - Mast/Tail Rotor - Blur quad,"[0.537,2.062,-2.237]","[0.000,90.000,0.000]","[0.000,0.600,0.600]",[]
4,R22_Helicopter_V2/Rotors_Group/Back Rotor - Mast/Tail Rotor - Blur quad,"[0.171,1.750,-2.158]","[0.018,99.894,184.239]","[0.111,0.643,0.633]",[]
7,R22_Helicopter_V2/Rotors_Group/Back Rotor - Mast/Tail Rotor - Blur quad,"[-17.947,39.686,9.925]","[25.359,289.949,144.418]","[0.384,0.756,0.807]",[]
8,R22_Helicopter_V2/Rotors_Group/Back Rotor - Mast/Tail Rotor - Blur quad,"[-13.223,0.500,8.678]","[15.132,35.338,208.859]","[0.629,0.787,0.522]",[]
1,R22_Helicopter_V2/Rotors_Group/Back Rotor - Mast/Tail Rotor - Double-side blur quad,"[0.537,2.062,-2.237]","[0.000,270.000,0.000]","[0.000,0.600,0.600]",[]
4,R22_Helicopter_V2/Rotors_Group/Back Rotor - Mast/Tail Rotor - Double-side blur quad,"[0.171,1.750,-2.158]","[359.982,279.894,175.761]","[0.111,0.643,0.633]",[]
7,R22_Helicopter_V2/Rotors_Group/Back Rotor - Mast/Tail Rotor - Double-side blur quad,"[-17.947,39.686,9.925]","[334.641,109.949,215.582]","[0.384,0.756,0.807]",[]
8,R22_Helicopter_V2/Rotors_Group/Back Rotor - Mast/Tail Rotor - Double-side blur quad,"[-13.223,0.500,8.678]","[344.868,215.338,151.141]","[0.629,0.787,0.522]",[]
1,R22_Helicopter_V2/Rotors_Group/Main Rotor - Mast/Main Rotor -  Blur Quad,"[0.809,3.153,-0.297]","[90.000,0.000,0.000]","[4.300,0.000,4.300]",[]
4,R22_Helicopter_V2/Rotors_Group/Main Rotor - Mast/Main Rotor -  Blur Quad,"[0.773,2.841,-0.293]","[90.000,159.969,0.000]","[5.514,0.002,5.514]",[]
7,R22_Helicopter_V2/Rotors_Group/Main Rotor - Mast/Main Rotor -  Blur Quad,"[-19.351,41.040,8.821]","[59.438,146.565,352.562]","[5.381,2.451,5.320]",[]
8,R22_Helicopter_V2/Rotors_Group/Main Rotor - Mast/Main Rotor -  Blur Quad,"[-13.717,2.272,9.961]","[56.993,280.734,61.314]","[5.127,3.179,6.001]",[]
1,R22_Helicopter_V2/Rotors_Group/Main Rotor - Mast/Main Rotor -  Double-side blur quad,"[0.809,3.153,-0.297]","[270.000,0.000,0.000]","[4.300,0.000,4.300]",[]
4,R22_Helicopter_V2/Rotors_Group/Main Rotor - Mast/Main Rotor -  Double-side blur quad,"[0.773,2.841,-0.293]","[270.034,159.935,0.000]","[5.514,0.002,5.514]",[]
7,R22_Helicopter_V2/Rotors_Group/Main Rotor - Mast/Main Rotor -  Double-side blur quad,"[-19.351,41.040,8.821]","[300.562,326.565,187.438]","[5.381,2.451,5.320]",[]
8,R22_Helicopter_V2/Rotors_Group/Main Rotor - Mast/Main Rotor -  Double-side blur quad,"[-13.717,2.272,9.961]","[303.007,100.734,118.686]","[5.127,3.179,6.001]",[]
1,R22_Helicopter_V2/Rotors_Group/Main Rotor - Mast/R22_Mechanical_LBlade_Geo,"[0.684,3.162,-0.294]","[0.000,0.000,0.000]","[2.031,0.284,0.275]",[]
4,R22_Helicopter_V2/Rotors_Group/Main Rotor - Mast/R22_Mechanical_LBlade_Geo,"[0.891,2.850,-0.253]","[35.007,159.964,0.021]","[2.041,0.391,1.061]",[]
