ObjectName,Scene,Parent,Level,Type,Layer,Active,Position,Rotation,Scale,InView,HasRenderer,HasCollider,Components
BeatAvatarEditorViewController(Clone)/EditPanel/Hair/Hair/ValuePicker/DecButton/BG,PCInit,BeatAvatarEditorViewController(Clone)/EditPanel/Hair/Hair/ValuePicker/DecButton,6,Empty,UI,False,"[-0.500,-26.900,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,RectTransform|CanvasRenderer|ImageView
BeatAvatarEditorViewController(Clone)/EditPanel/Hair/Hair/ValuePicker/DecButton,PCInit,BeatAvatarEditorViewController(Clone)/EditPanel/Hair/Hair/ValuePicker,5,Empty,UI,False,"[17.000,-26.900,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,RectTransform|SignalOnUIButtonClick|CanvasRenderer|Touchable|ButtonStaticAnimations|NoTransitionsButton|Animation
BeatAvatarEditorViewController(Clone)/EditPanel/Hair/Hair/ValuePicker,PCInit,BeatAvatarEditorViewController(Clone)/EditPanel/Hair/Hair,4,Empty,UI,False,"[35.000,-26.900,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,RectTransform|StepValuePicker|NamedIntListController
BeatAvatarEditorViewController(Clone)/EditPanel/Hair/Hair/Icon,PCInit,BeatAvatarEditorViewController(Clone)/EditPanel/Hair/Hair,4,Empty,UI,False,"[-9.000,-26.900,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,RectTransform|CanvasRenderer|ImageView
BeatAvatarEditorViewController(Clone)/EditPanel/Hair/Hair,PCInit,BeatAvatarEditorViewController(Clone)/EditPanel/Hair,3,Empty,UI,False,"[-9.000,-23.400,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,RectTransform|LayoutElement
BeatAvatarEditorViewController(Clone)/EditPanel/Hair,PCInit,BeatAvatarEditorViewController(Clone)/EditPanel,2,Empty,UI,False,"[27.000,-26.900,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,RectTransform
BeatAvatarEditorViewController(Clone)/EditPanel/Eyes/Eyes/ValuePicker/Icon,PCInit,BeatAvatarEditorViewController(Clone)/EditPanel/Eyes/Eyes/ValuePicker,5,Empty,UI,False,"[18.000,-19.700,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,RectTransform|CanvasRenderer|ImageView
BeatAvatarEditorViewController(Clone)/EditPanel/Eyes/Eyes/ValuePicker/ValueText,PCInit,BeatAvatarEditorViewController(Clone)/EditPanel/Eyes/Eyes/ValuePicker,5,Empty,UI,False,"[18.000,-19.700,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,RectTransform|CanvasRenderer|CurvedTextMeshPro|InteractableTextMeshPro
BeatAvatarEditorViewController(Clone)/EditPanel/Eyes/Eyes/ValuePicker/IncButton/Icon,PCInit,BeatAvatarEditorViewController(Clone)/EditPanel/Eyes/Eyes/ValuePicker/IncButton,6,Empty,UI,False,"[32.500,-19.700,0.000]","[0.000,0.000,90.000]","[1.000,1.000,1.000]",False,False,False,RectTransform|CanvasRenderer|ImageView
BeatAvatarEditorViewController(Clone)/EditPanel/Eyes/Eyes/ValuePicker/IncButton/BG,PCInit,BeatAvatarEditorViewController(Clone)/EditPanel/Eyes/Eyes/ValuePicker/IncButton,6,Empty,UI,False,"[35.500,-19.700,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,RectTransform|CanvasRenderer|ImageView
